Wavelength (nm),%T,
900,81.59801483,
899.9000244,83.38824463,
899.7999878,80.1311264,
899.7000122,82.21091461,
899.5999756,81.23108673,
899.5,81.95373535,
899.4000244,80.53003693,
899.2999878,83.77574921,
899.2000122,81.31652832,
899.0999756,81.62750244,
899,81.07183838,
898.9000244,82.15701294,
898.7999878,81.75816345,
898.7000122,81.35519409,
898.5999756,80.86193085,
898.5,81.35882568,
898.4000244,80.64887238,
898.2999878,80.97798157,
898.2000122,80.49441528,
898.0999756,81.12504578,
898,82.41189575,
897.9000244,81.59272766,
897.7999878,83.04360199,
897.7000122,79.82346344,
897.5999756,81.29811096,
897.5,82.38352203,
897.4000244,81.73517609,
897.2999878,82.87643433,
897.2000122,83.75836182,
897.0999756,80.87255859,
897,81.92897797,
896.9000244,81.72344208,
896.7999878,82.46394348,
896.7000122,82.5194931,
896.5999756,82.94300079,
896.5,83.62820435,
896.4000244,82.60921478,
896.2999878,83.96195984,
896.2000122,82.50250244,
896.0999756,83.75305176,
896,82.87283325,
895.9000244,82.0065155,
895.7999878,82.43068695,
895.7000122,81.01170349,
895.5999756,83.88566589,
895.5,81.19114685,
895.4000244,82.79353333,
895.2999878,81.88568115,
895.2000122,82.29206848,
895.0999756,83.01063538,
895,82.26271057,
894.9000244,83.17351532,
894.7999878,83.40948486,
894.7000122,82.55878448,
894.5999756,82.52262878,
894.5,82.67752838,
894.4000244,83.17632294,
894.2999878,81.5011673,
894.2000122,80.72441864,
894.0999756,81.67258453,
894,83.58882904,
893.9000244,83.09899139,
893.7999878,82.37203979,
893.7000122,83.07659912,
893.5999756,81.74767303,
893.5,81.31742096,
893.4000244,83.21195221,
893.2999878,83.50628662,
893.2000122,83.76509857,
893.0999756,81.93232727,
893,81.6244278,
892.9000244,81.71404266,
892.7999878,83.4393158,
892.7000122,82.72238159,
892.5999756,82.74620056,
892.5,82.72016907,
892.4000244,83.03691101,
892.2999878,82.17417908,
892.2000122,82.01832581,
892.0999756,82.0628891,
892,82.70752716,
891.9000244,83.09387207,
891.7999878,83.83992767,
891.7000122,81.95800018,
891.5999756,82.80021667,
891.5,82.22163391,
891.4000244,82.7201767,
891.2999878,82.16719055,
891.2000122,83.83073425,
891.0999756,84.21258545,
891,80.45547485,
890.9000244,83.21594238,
890.7999878,82.7756958,
890.7000122,83.24147797,
890.5999756,84.72598267,
890.5,81.65603638,
890.4000244,80.8924942,
890.2999878,82.90232086,
890.2000122,82.84619141,
890.0999756,82.68187714,
890,83.04414368,
889.9000244,84.15115356,
889.7999878,81.75137329,
889.7000122,83.25508118,
889.5999756,81.52618408,
889.5,81.52317047,
889.4000244,81.92216492,
889.2999878,83.19993591,
889.2000122,83.30086517,
889.0999756,83.18783569,
889,83.2598114,
888.9000244,83.26902771,
888.7999878,84.98478699,
888.7000122,82.09270477,
888.5999756,83.91069794,
888.5,82.97704315,
888.4000244,83.42707062,
888.2999878,84.00031281,
888.2000122,82.48948669,
888.0999756,84.45718384,
888,83.47721863,
887.9000244,83.9328537,
887.7999878,81.85725403,
887.7000122,82.871315,
887.5999756,82.84526062,
887.5,83.88214874,
887.4000244,82.93031311,
887.2999878,83.44481659,
887.2000122,84.3997879,
887.0999756,83.93559265,
887,82.37867737,
886.9000244,82.68525696,
886.7999878,82.23413086,
886.7000122,83.59581757,
886.5999756,83.56355286,
886.5,83.81328583,
886.4000244,84.35788727,
886.2999878,82.85131836,
886.2000122,82.0118103,
886.0999756,84.23922729,
886,83.68453217,
885.9000244,83.53542328,
885.7999878,83.80828094,
885.7000122,85.32520294,
885.5999756,84.35055542,
885.5,83.51657867,
885.4000244,84.53027344,
885.2999878,83.01014709,
885.2000122,83.31092834,
885.0999756,83.72899628,
885,83.3056488,
884.9000244,83.20590973,
884.7999878,83.57299805,
884.7000122,83.48162079,
884.5999756,83.44961548,
884.5,83.00605011,
884.4000244,83.55271912,
884.2999878,84.49506378,
884.2000122,82.8325119,
884.0999756,82.83117676,
884,83.78128815,
883.9000244,83.92688751,
883.7999878,84.7624588,
883.7000122,82.99255371,
883.5999756,84.35344696,
883.5,82.45807648,
883.4000244,83.13310242,
883.2999878,83.96398926,
883.2000122,85.00850677,
883.0999756,82.80025482,
883,84.56726837,
882.9000244,84.27351379,
882.7999878,83.23597717,
882.7000122,82.75884247,
882.5999756,83.83074951,
882.5,84.26358032,
882.4000244,84.1525116,
882.2999878,83.83106995,
882.2000122,83.19248962,
882.0999756,82.06411743,
882,82.93946075,
881.9000244,83.66057587,
881.7999878,83.68621063,
881.7000122,83.07829285,
881.5999756,83.97618866,
881.5,84.77925873,
881.4000244,84.27968597,
881.2999878,83.75093842,
881.2000122,84.47795868,
881.0999756,84.1914444,
881,84.04920959,
880.9000244,83.17420197,
880.7999878,83.37229919,
880.7000122,82.74901581,
880.5999756,83.00670624,
880.5,84.45279694,
880.4000244,85.13869476,
880.2999878,84.6854248,
880.2000122,83.95079041,
880.0999756,84.22445679,
880,84.06614685,
879.9000244,84.55950165,
879.7999878,83.62319946,
879.7000122,83.37865448,
879.5999756,84.14324188,
879.5,83.66757965,
879.4000244,83.48699951,
879.2999878,84.44490051,
879.2000122,85.51702881,
879.0999756,82.99938202,
879,83.52436829,
878.9000244,83.70393372,
878.7999878,84.88904572,
878.7000122,83.57736969,
878.5999756,84.24752808,
878.5,84.9369812,
878.4000244,84.60706329,
878.2999878,83.63752747,
878.2000122,83.4348526,
878.0999756,83.76553345,
878,83.9079895,
877.9000244,84.46798706,
877.7999878,83.9463501,
877.7000122,84.84747314,
877.5999756,84.3976593,
877.5,85.1740036,
877.4000244,84.13317871,
877.2999878,85.03390503,
877.2000122,84.24970245,
877.0999756,84.21302795,
877,84.53748322,
876.9000244,84.49454498,
876.7999878,84.65428162,
876.7000122,85.14807892,
876.5999756,83.17071533,
876.5,84.50582123,
876.4000244,84.30923462,
876.2999878,84.43567657,
876.2000122,84.65750885,
876.0999756,84.47869873,
876,84.30767059,
875.9000244,84.25624084,
875.7999878,85.24801636,
875.7000122,85.19580078,
875.5999756,84.9678421,
875.5,84.65727234,
875.4000244,85.21395111,
875.2999878,83.95005798,
875.2000122,84.29291534,
875.0999756,83.92151642,
875,84.54904175,
874.9000244,85.34947968,
874.7999878,85.038414,
874.7000122,84.7341156,
874.5999756,85.00395203,
874.5,84.67694855,
874.4000244,83.86393738,
874.2999878,84.74642944,
874.2000122,84.26888275,
874.0999756,84.73428345,
874,83.90177155,
873.9000244,85.39120483,
873.7999878,84.63320923,
873.7000122,85.05242157,
873.5999756,84.79051971,
873.5,84.94878387,
873.4000244,85.45279694,
873.2999878,85.29498291,
873.2000122,86.03912354,
873.0999756,83.8757782,
873,84.04541016,
872.9000244,85.21721649,
872.7999878,84.37423706,
872.7000122,84.65708923,
872.5999756,85.14089203,
872.5,85.01027679,
872.4000244,84.54000092,
872.2999878,84.86056519,
872.2000122,85.32740784,
872.0999756,85.1359024,
872,84.73545837,
871.9000244,85.0401001,
871.7999878,84.2976532,
871.7000122,85.16629791,
871.5999756,85.1920929,
871.5,84.98912048,
871.4000244,85.43717194,
871.2999878,85.1890564,
871.2000122,84.84711456,
871.0999756,85.0651474,
871,85.01346588,
870.9000244,85.63178253,
870.7999878,85.53204346,
870.7000122,84.71990967,
870.5999756,84.19043732,
870.5,84.99685669,
870.4000244,85.37628937,
870.2999878,86.12406158,
870.2000122,85.69683075,
870.0999756,85.49221039,
870,85.75192261,
869.9000244,84.62173462,
869.7999878,84.53310394,
869.7000122,85.2101593,
869.5999756,85.6153717,
869.5,85.40441132,
869.4000244,85.16208649,
869.2999878,84.52955627,
869.2000122,85.17383575,
869.0999756,84.91184998,
869,85.86876678,
